ticker,name,sector_ishares,etf_market_value_usd,weight_pct,source_index,classification_raw,source_classification,data_as_of
FFIV,F5 INC,Information Technology,26731743.21,0.11,IGV,,,2026-05-08
SNX,TD SYNNEX CORP,Information Technology,24404265.6,0.1,IGV,,,2026-05-08
SMCI,SUPER MICRO COMPUTER INC,Information Technology,24281292.78,0.1,IGV,,,2026-05-08
LSCC,LATTICE SEMICONDUCTOR CORP,Information Technology,23118563.16,0.1,IGV,,,2026-05-08
PTC,PTC INC,Information Technology,23103094.35,0.1,IGV,,,2026-05-08
LDOS,LEIDOS HOLDINGS INC,Industrials,22184795.88,0.09,IGV,,,2026-05-08
ZS,ZSCALER INC,Information Technology,20339781.0,0.09,IGV,,,2026-05-08
TEAM,ATLASSIAN CORP CLASS A,Information Technology,20290590.8,0.09,IGV,,,2026-05-08
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,19232859.6,0.08,IGV,,,2026-05-08
OKTA,OKTA INC CLASS A,Information Technology,18771366.5,0.08,IGV,,,2026-05-08
TYL,TYLER TECHNOLOGIES INC,Information Technology,18670166.18,0.08,IGV,,,2026-05-08
ONTO,ONTO INNOVATION INC,Information Technology,18503834.67,0.08,IGV,,,2026-05-08
CDW,CDW CORP,Information Technology,18207996.03,0.08,IGV,,,2026-05-08
PINS,PINTEREST INC CLASS A,Communication,16797110.43,0.07,IGV,,,2026-05-08
GEN,GEN DIGITAL INC,Information Technology,16659095.04,0.07,IGV,,,2026-05-08
GDDY,GODADDY INC CLASS A,Information Technology,16364485.8,0.07,IGV,,,2026-05-08
DT,DYNATRACE INC,Information Technology,15978535.1,0.07,IGV,,,2026-05-08
NTNX,NUTANIX INC CLASS A,Information Technology,15931640.0,0.07,IGV,,,2026-05-08
GWRE,GUIDEWIRE SOFTWARE INC,Information Technology,15706183.35,0.07,IGV,,,2026-05-08
TOST,TOAST INC CLASS A,Financials,15569050.95,0.07,IGV,,,2026-05-08
IT,GARTNER INC,Information Technology,14861221.45,0.06,IGV,,,2026-05-08
CACI,CACI INTERNATIONAL INC CLASS A,Industrials,13925622.48,0.06,IGV,,,2026-05-08
ARW,ARROW ELECTRONICS INC,Information Technology,13451160.1,0.06,IGV,,,2026-05-08
HUBS,HUBSPOT INC,Information Technology,13415370.54,0.06,IGV,,,2026-05-08
